device_name,device_type,eq_variant,data_source,score_before_eq,score_with_eq,preamp_db,num_filters,filter_index,filter_type,fc_hz,gain_db,q,generator_version,generated_at,source_file
Beyerdynamic DT1990 Pro,headphone,flat,,,,-3.7,7,7,PK,4216.0,0.85,3.46,,,headphone_eq/Beyerdynamic DT1990 Pro/iir-autoeq-flat.txt
Beyerdynamic DT1990 Pro,headphone,score,,,,-3.7,7,1,PK,61.0,3.96,0.74,,,headphone_eq/Beyerdynamic DT1990 Pro/iir-autoeq-score.txt
Beyerdynamic DT1990 Pro,headphone,score,,,,-3.7,7,2,PK,172.0,3.25,1.89,,,headphone_eq/Beyerdynamic DT1990 Pro/iir-autoeq-score.txt
Beyerdynamic DT1990 Pro,headphone,score,,,,-3.7,7,3,PK,175.0,-5.28,1.38,,,headphone_eq/Beyerdynamic DT1990 Pro/iir-autoeq-score.txt
Beyerdynamic DT1990 Pro,headphone,score,,,,-3.7,7,4,PK,296.0,-0.2,1.43,,,headphone_eq/Beyerdynamic DT1990 Pro/iir-autoeq-score.txt
Beyerdynamic DT1990 Pro,headphone,score,,,,-3.7,7,5,PK,657.0,0.87,1.88,,,headphone_eq/Beyerdynamic DT1990 Pro/iir-autoeq-score.txt
Beyerdynamic DT1990 Pro,headphone,score,,,,-3.7,7,6,PK,1809.0,0.85,2.39,,,headphone_eq/Beyerdynamic DT1990 Pro/iir-autoeq-score.txt
Beyerdynamic DT1990 Pro,headphone,score,,,,-3.7,7,7,PK,4660.0,3.14,4.85,,,headphone_eq/Beyerdynamic DT1990 Pro/iir-autoeq-score.txt
Beyerdynamic DT990 Pro (250 _),headphone,flat,,,,-3.6,7,1,PK,61.0,4.13,1.15,,,headphone_eq/Beyerdynamic DT990 Pro (250 _)/iir-autoeq-flat.txt
Beyerdynamic DT990 Pro (250 _),headphone,flat,,,,-3.6,7,2,PK,137.0,-1.14,3.18,,,headphone_eq/Beyerdynamic DT990 Pro (250 _)/iir-autoeq-flat.txt
Beyerdynamic DT990 Pro (250 _),headphone,flat,,,,-3.6,7,3,PK,202.0,-4.66,0.89,,,headphone_eq/Beyerdynamic DT990 Pro (250 _)/iir-autoeq-flat.txt
Beyerdynamic DT990 Pro (250 _),headphone,flat,,,,-3.6,7,4,PK,370.0,1.54,1.23,,,headphone_eq/Beyerdynamic DT990 Pro (250 _)/iir-autoeq-flat.txt
Beyerdynamic DT990 Pro (250 _),headphone,flat,,,,-3.6,7,5,PK,657.0,1.68,1.89,,,headphone_eq/Beyerdynamic DT990 Pro (250 _)/iir-autoeq-flat.txt
Beyerdynamic DT990 Pro (250 _),headphone,flat,,,,-3.6,7,6,PK,4464.0,3.73,2.24,,,headphone_eq/Beyerdynamic DT990 Pro (250 _)/iir-autoeq-flat.txt
Beyerdynamic DT990 Pro (250 _),headphone,flat,,,,-3.6,7,7,PK,5819.0,-5.96,1.09,,,headphone_eq/Beyerdynamic DT990 Pro (250 _)/iir-autoeq-flat.txt
Beyerdynamic DT990 Pro (250 _),headphone,score,,,,-3.5,7,1,PK,60.0,4.07,0.98,,,headphone_eq/Beyerdynamic DT990 Pro (250 _)/iir-autoeq-score.txt
Beyerdynamic DT990 Pro (250 _),headphone,score,,,,-3.5,7,2,PK,133.0,-0.65,2.64,,,headphone_eq/Beyerdynamic DT990 Pro (250 _)/iir-autoeq-score.txt
Beyerdynamic DT990 Pro (250 _),headphone,score,,,,-3.5,7,3,PK,178.0,-4.43,1.03,,,headphone_eq/Beyerdynamic DT990 Pro (250 _)/iir-autoeq-score.txt
Beyerdynamic DT990 Pro (250 _),headphone,score,,,,-3.5,7,4,PK,296.0,-0.01,2.08,,,headphone_eq/Beyerdynamic DT990 Pro (250 _)/iir-autoeq-score.txt
Beyerdynamic DT990 Pro (250 _),headphone,score,,,,-3.5,7,5,PK,657.0,1.98,1.74,,,headphone_eq/Beyerdynamic DT990 Pro (250 _)/iir-autoeq-score.txt
Beyerdynamic DT990 Pro (250 _),headphone,score,,,,-3.5,7,6,PK,3286.0,-0.08,4.09,,,headphone_eq/Beyerdynamic DT990 Pro (250 _)/iir-autoeq-score.txt
Beyerdynamic DT990 Pro (250 _),headphone,score,,,,-3.5,7,7,PK,5790.0,-5.12,1.73,,,headphone_eq/Beyerdynamic DT990 Pro (250 _)/iir-autoeq-score.txt
Beyerdynamic T1 V2,headphone,flat,,,,-3.2,7,1,PK,64.0,1.54,3.18,,,headphone_eq/Beyerdynamic T1 V2/iir-autoeq-flat.txt
Beyerdynamic T1 V2,headphone,flat,,,,-3.2,7,2,PK,153.0,-2.4,1.01,,,headphone_eq/Beyerdynamic T1 V2/iir-autoeq-flat.txt
Beyerdynamic T1 V2,headphone,flat,,,,-3.2,7,3,PK,228.0,-1.16,2.85,,,headphone_eq/Beyerdynamic T1 V2/iir-autoeq-flat.txt
Beyerdynamic T1 V2,headphone,flat,,,,-3.2,7,4,PK,331.0,-3.37,0.5,,,headphone_eq/Beyerdynamic T1 V2/iir-autoeq-flat.txt
Beyerdynamic T1 V2,headphone,flat,,,,-3.2,7,5,PK,905.0,-1.23,2.97,,,headphone_eq/Beyerdynamic T1 V2/iir-autoeq-flat.txt
Beyerdynamic T1 V2,headphone,flat,,,,-3.2,7,6,PK,2457.0,2.96,1.47,,,headphone_eq/Beyerdynamic T1 V2/iir-autoeq-flat.txt
Beyerdynamic T1 V2,headphone,flat,,,,-3.2,7,7,PK,3243.0,1.09,1.96,,,headphone_eq/Beyerdynamic T1 V2/iir-autoeq-flat.txt
Beyerdynamic T1 V2,headphone,score,,,,-3.9,7,1,PK,65.0,1.32,2.42,,,headphone_eq/Beyerdynamic T1 V2/iir-autoeq-score.txt
Beyerdynamic T1 V2,headphone,score,,,,-3.9,7,2,PK,159.0,0.86,2.92,,,headphone_eq/Beyerdynamic T1 V2/iir-autoeq-score.txt
Beyerdynamic T1 V2,headphone,score,,,,-3.9,7,3,PK,164.0,-3.44,1.07,,,headphone_eq/Beyerdynamic T1 V2/iir-autoeq-score.txt
Beyerdynamic T1 V2,headphone,score,,,,-3.9,7,4,PK,345.0,-3.43,0.5,,,headphone_eq/Beyerdynamic T1 V2/iir-autoeq-score.txt
Beyerdynamic T1 V2,headphone,score,,,,-3.9,7,5,PK,1393.0,0.87,4.64,,,headphone_eq/Beyerdynamic T1 V2/iir-autoeq-score.txt
Beyerdynamic T1 V2,headphone,score,,,,-3.9,7,6,PK,2508.0,3.62,2.72,,,headphone_eq/Beyerdynamic T1 V2/iir-autoeq-score.txt
Beyerdynamic T1 V2,headphone,score,,,,-3.9,7,7,PK,3243.0,1.12,1.99,,,headphone_eq/Beyerdynamic T1 V2/iir-autoeq-score.txt
Bose NC700,headphone,flat,,,,-6.0,7,1,PK,100.0,0.69,2.59,,,headphone_eq/Bose NC700/iir-autoeq-flat.txt
Bose NC700,headphone,flat,,,,-6.0,7,2,PK,163.0,-3.84,0.5,,,headphone_eq/Bose NC700/iir-autoeq-flat.txt
Bose NC700,headphone,flat,,,,-6.0,7,3,PK,214.0,-0.17,2.28,,,headphone_eq/Bose NC700/iir-autoeq-flat.txt
Bose NC700,headphone,flat,,,,-6.0,7,4,PK,362.0,1.16,2.49,,,headphone_eq/Bose NC700/iir-autoeq-flat.txt
Bose NC700,headphone,flat,,,,-6.0,7,5,PK,1457.0,3.42,2.97,,,headphone_eq/Bose NC700/iir-autoeq-flat.txt
Bose NC700,headphone,flat,,,,-6.0,7,6,PK,1629.0,-3.46,2.45,,,headphone_eq/Bose NC700/iir-autoeq-flat.txt
Bose NC700,headphone,flat,,,,-6.0,7,7,PK,6819.0,6.0,1.27,,,headphone_eq/Bose NC700/iir-autoeq-flat.txt
Bose NC700,headphone,score,,,,-5.9,7,1,PK,60.0,-0.67,2.47,,,headphone_eq/Bose NC700/iir-autoeq-score.txt
Bose NC700,headphone,score,,,,-5.9,7,2,PK,170.0,-3.74,0.66,,,headphone_eq/Bose NC700/iir-autoeq-score.txt
Bose NC700,headphone,score,,,,-5.9,7,3,PK,236.0,-0.45,3.43,,,headphone_eq/Bose NC700/iir-autoeq-score.txt
Bose NC700,headphone,score,,,,-5.9,7,4,PK,306.0,0.53,2.7,,,headphone_eq/Bose NC700/iir-autoeq-score.txt
Bose NC700,headphone,score,,,,-5.9,7,5,PK,1276.0,2.35,2.94,,,headphone_eq/Bose NC700/iir-autoeq-score.txt
Bose NC700,headphone,score,,,,-5.9,7,6,PK,1538.0,-1.71,1.24,,,headphone_eq/Bose NC700/iir-autoeq-score.txt
Bose NC700,headphone,score,,,,-5.9,7,7,PK,6759.0,6.0,1.1,,,headphone_eq/Bose NC700/iir-autoeq-score.txt
Bose QuietComfort 45,headphone,flat,,,,-0.3,7,1,PK,64.0,-7.93,0.58,,,headphone_eq/Bose QuietComfort 45/iir-autoeq-flat.txt
Bose QuietComfort 45,headphone,flat,,,,-0.3,7,2,PK,67.0,4.31,1.16,,,headphone_eq/Bose QuietComfort 45/iir-autoeq-flat.txt
Bose QuietComfort 45,headphone,flat,,,,-0.3,7,3,PK,296.0,-4.55,0.56,,,headphone_eq/Bose QuietComfort 45/iir-autoeq-flat.txt
Bose QuietComfort 45,headphone,flat,,,,-0.3,7,4,PK,350.0,3.21,2.12,,,headphone_eq/Bose QuietComfort 45/iir-autoeq-flat.txt
Bose QuietComfort 45,headphone,flat,,,,-0.3,7,5,PK,861.0,-1.31,4.36,,,headphone_eq/Bose QuietComfort 45/iir-autoeq-flat.txt
Bose QuietComfort 45,headphone,flat,,,,-0.3,7,6,PK,2773.0,-6.36,1.84,,,headphone_eq/Bose QuietComfort 45/iir-autoeq-flat.txt
Bose QuietComfort 45,headphone,flat,,,,-0.3,7,7,PK,3243.0,4.92,4.78,,,headphone_eq/Bose QuietComfort 45/iir-autoeq-flat.txt
Bose QuietComfort 45,headphone,score,,,,-1.8,7,1,PK,61.0,-7.43,0.61,,,headphone_eq/Bose QuietComfort 45/iir-autoeq-score.txt
Bose QuietComfort 45,headphone,score,,,,-1.8,7,2,PK,66.0,3.96,1.27,,,headphone_eq/Bose QuietComfort 45/iir-autoeq-score.txt
Bose QuietComfort 45,headphone,score,,,,-1.8,7,3,PK,296.0,-4.95,0.5,,,headphone_eq/Bose QuietComfort 45/iir-autoeq-score.txt
Bose QuietComfort 45,headphone,score,,,,-1.8,7,4,PK,358.0,3.15,1.78,,,headphone_eq/Bose QuietComfort 45/iir-autoeq-score.txt
Bose QuietComfort 45,headphone,score,,,,-1.8,7,5,PK,1653.0,5.99,2.66,,,headphone_eq/Bose QuietComfort 45/iir-autoeq-score.txt
Bose QuietComfort 45,headphone,score,,,,-1.8,7,6,PK,2378.0,-7.75,1.37,,,headphone_eq/Bose QuietComfort 45/iir-autoeq-score.txt
Bose QuietComfort 45,headphone,score,,,,-1.8,7,7,PK,3243.0,5.75,5.25,,,headphone_eq/Bose QuietComfort 45/iir-autoeq-score.txt
Bowers & Wilkins P5 V1,headphone,flat,,,,-6.0,7,1,PK,60.0,1.71,3.11,,,headphone_eq/Bowers & Wilkins P5 V1/iir-autoeq-flat.txt
Bowers & Wilkins P5 V1,headphone,flat,,,,-6.0,7,2,PK,84.0,6.0,0.89,,,headphone_eq/Bowers & Wilkins P5 V1/iir-autoeq-flat.txt
Bowers & Wilkins P5 V1,headphone,flat,,,,-6.0,7,3,PK,133.0,0.64,2.71,,,headphone_eq/Bowers & Wilkins P5 V1/iir-autoeq-flat.txt
Bowers & Wilkins P5 V1,headphone,flat,,,,-6.0,7,4,PK,371.0,-8.13,1.05,,,headphone_eq/Bowers & Wilkins P5 V1/iir-autoeq-flat.txt
Bowers & Wilkins P5 V1,headphone,flat,,,,-6.0,7,5,PK,728.0,1.55,3.73,,,headphone_eq/Bowers & Wilkins P5 V1/iir-autoeq-flat.txt
Bowers & Wilkins P5 V1,headphone,flat,,,,-6.0,7,6,PK,3088.0,-3.03,2.52,,,headphone_eq/Bowers & Wilkins P5 V1/iir-autoeq-flat.txt
Bowers & Wilkins P5 V1,headphone,flat,,,,-6.0,7,7,PK,9056.0,5.68,1.34,,,headphone_eq/Bowers & Wilkins P5 V1/iir-autoeq-flat.txt
Bowers & Wilkins P5 V1,headphone,score,,,,-6.0,7,1,PK,61.0,5.31,1.34,,,headphone_eq/Bowers & Wilkins P5 V1/iir-autoeq-score.txt
Bowers & Wilkins P5 V1,headphone,score,,,,-6.0,7,2,PK,100.0,4.37,2.12,,,headphone_eq/Bowers & Wilkins P5 V1/iir-autoeq-score.txt
Bowers & Wilkins P5 V1,headphone,score,,,,-6.0,7,3,PK,133.0,0.4,3.14,,,headphone_eq/Bowers & Wilkins P5 V1/iir-autoeq-score.txt
Bowers & Wilkins P5 V1,headphone,score,,,,-6.0,7,4,PK,376.0,-8.23,1.32,,,headphone_eq/Bowers & Wilkins P5 V1/iir-autoeq-score.txt
Bowers & Wilkins P5 V1,headphone,score,,,,-6.0,7,5,PK,1959.0,4.77,3.26,,,headphone_eq/Bowers & Wilkins P5 V1/iir-autoeq-score.txt
Bowers & Wilkins P5 V1,headphone,score,,,,-6.0,7,6,PK,2492.0,-4.44,1.33,,,headphone_eq/Bowers & Wilkins P5 V1/iir-autoeq-score.txt
Bowers & Wilkins P5 V1,headphone,score,,,,-6.0,7,7,PK,9479.0,6.0,3.02,,,headphone_eq/Bowers & Wilkins P5 V1/iir-autoeq-score.txt
Bowers & Wilkins P7,headphone,flat,,,,-6.0,7,1,PK,63.0,3.3,3.28,,,headphone_eq/Bowers & Wilkins P7/iir-autoeq-flat.txt
Bowers & Wilkins P7,headphone,flat,,,,-6.0,7,2,PK,133.0,1.25,3.01,,,headphone_eq/Bowers & Wilkins P7/iir-autoeq-flat.txt
Bowers & Wilkins P7,headphone,flat,,,,-6.0,7,3,PK,154.0,-6.13,0.71,,,headphone_eq/Bowers & Wilkins P7/iir-autoeq-flat.txt
Bowers & Wilkins P7,headphone,flat,,,,-6.0,7,4,PK,376.0,4.18,1.27,,,headphone_eq/Bowers & Wilkins P7/iir-autoeq-flat.txt
Bowers & Wilkins P7,headphone,flat,,,,-6.0,7,5,PK,657.0,0.99,1.14,,,headphone_eq/Bowers & Wilkins P7/iir-autoeq-flat.txt
Bowers & Wilkins P7,headphone,flat,,,,-6.0,7,6,PK,1690.0,-2.55,2.36,,,headphone_eq/Bowers & Wilkins P7/iir-autoeq-flat.txt
Bowers & Wilkins P7,headphone,flat,,,,-6.0,7,7,PK,6128.0,6.0,0.5,,,headphone_eq/Bowers & Wilkins P7/iir-autoeq-flat.txt
Bowers & Wilkins P7,headphone,score,,,,-6.0,7,1,PK,64.0,4.55,5.1,,,headphone_eq/Bowers & Wilkins P7/iir-autoeq-score.txt
Bowers & Wilkins P7,headphone,score,,,,-6.0,7,2,PK,158.0,-4.54,0.5,,,headphone_eq/Bowers & Wilkins P7/iir-autoeq-score.txt
Bowers & Wilkins P7,headphone,score,,,,-6.0,7,3,PK,192.0,-1.33,2.04,,,headphone_eq/Bowers & Wilkins P7/iir-autoeq-score.txt
Bowers & Wilkins P7,headphone,score,,,,-6.0,7,4,PK,376.0,4.7,1.23,,,headphone_eq/Bowers & Wilkins P7/iir-autoeq-score.txt
Bowers & Wilkins P7,headphone,score,,,,-6.0,7,5,PK,657.0,1.17,2.2,,,headphone_eq/Bowers & Wilkins P7/iir-autoeq-score.txt
Bowers & Wilkins P7,headphone,score,,,,-6.0,7,6,PK,1852.0,-2.83,3.02,,,headphone_eq/Bowers & Wilkins P7/iir-autoeq-score.txt
Bowers & Wilkins P7,headphone,score,,,,-6.0,7,7,PK,5732.0,6.0,0.5,,,headphone_eq/Bowers & Wilkins P7/iir-autoeq-score.txt
Dan Clark Audio (MrSpeakers) AEON 2 Noire,headphone,flat,,,,-4.7,7,1,PK,66.0,0.54,2.03,,,headphone_eq/Dan Clark Audio (MrSpeakers) AEON 2 Noire/iir-autoeq-flat.txt
Dan Clark Audio (MrSpeakers) AEON 2 Noire,headphone,flat,,,,-4.7,7,2,PK,106.0,-3.77,1.37,,,headphone_eq/Dan Clark Audio (MrSpeakers) AEON 2 Noire/iir-autoeq-flat.txt
Dan Clark Audio (MrSpeakers) AEON 2 Noire,headphone,flat,,,,-4.7,7,3,PK,296.0,-4.72,2.59,,,headphone_eq/Dan Clark Audio (MrSpeakers) AEON 2 Noire/iir-autoeq-flat.txt
Dan Clark Audio (MrSpeakers) AEON 2 Noire,headphone,flat,,,,-4.7,7,4,PK,301.0,2.39,2.34,,,headphone_eq/Dan Clark Audio (MrSpeakers) AEON 2 Noire/iir-autoeq-flat.txt
Dan Clark Audio (MrSpeakers) AEON 2 Noire,headphone,flat,,,,-4.7,7,5,PK,1222.0,-1.45,2.57,,,headphone_eq/Dan Clark Audio (MrSpeakers) AEON 2 Noire/iir-autoeq-flat.txt
Dan Clark Audio (MrSpeakers) AEON 2 Noire,headphone,flat,,,,-4.7,7,6,PK,2019.0,1.93,2.37,,,headphone_eq/Dan Clark Audio (MrSpeakers) AEON 2 Noire/iir-autoeq-flat.txt
Dan Clark Audio (MrSpeakers) AEON 2 Noire,headphone,flat,,,,-4.7,7,7,PK,3397.0,4.48,3.11,,,headphone_eq/Dan Clark Audio (MrSpeakers) AEON 2 Noire/iir-autoeq-flat.txt
Dan Clark Audio (MrSpeakers) AEON 2 Noire,headphone,score,,,,-4.6,7,1,PK,61.0,1.18,2.14,,,headphone_eq/Dan Clark Audio (MrSpeakers) AEON 2 Noire/iir-autoeq-score.txt
Dan Clark Audio (MrSpeakers) AEON 2 Noire,headphone,score,,,,-4.6,7,2,PK,110.0,-3.8,0.96,,,headphone_eq/Dan Clark Audio (MrSpeakers) AEON 2 Noire/iir-autoeq-score.txt
Dan Clark Audio (MrSpeakers) AEON 2 Noire,headphone,score,,,,-4.6,7,3,PK,174.0,1.42,2.53,,,headphone_eq/Dan Clark Audio (MrSpeakers) AEON 2 Noire/iir-autoeq-score.txt
Dan Clark Audio (MrSpeakers) AEON 2 Noire,headphone,score,,,,-4.6,7,4,PK,296.0,-1.52,1.47,,,headphone_eq/Dan Clark Audio (MrSpeakers) AEON 2 Noire/iir-autoeq-score.txt
Dan Clark Audio (MrSpeakers) AEON 2 Noire,headphone,score,,,,-4.6,7,5,PK,1460.0,-2.82,2.47,,,headphone_eq/Dan Clark Audio (MrSpeakers) AEON 2 Noire/iir-autoeq-score.txt
Dan Clark Audio (MrSpeakers) AEON 2 Noire,headphone,score,,,,-4.6,7,6,PK,1756.0,2.87,2.0,,,headphone_eq/Dan Clark Audio (MrSpeakers) AEON 2 Noire/iir-autoeq-score.txt
Dan Clark Audio (MrSpeakers) AEON 2 Noire,headphone,score,,,,-4.6,7,7,PK,3431.0,4.42,3.06,,,headphone_eq/Dan Clark Audio (MrSpeakers) AEON 2 Noire/iir-autoeq-score.txt
Dan Clark Audio (MrSpeakers) Ether Flow 1.1,headphone,flat,,,,-2.8,7,1,PK,61.0,3.05,3.43,,,headphone_eq/Dan Clark Audio (MrSpeakers) Ether Flow 1.1/iir-autoeq-flat.txt
Dan Clark Audio (MrSpeakers) Ether Flow 1.1,headphone,flat,,,,-2.8,7,2,PK,127.0,-2.68,0.9,,,headphone_eq/Dan Clark Audio (MrSpeakers) Ether Flow 1.1/iir-autoeq-flat.txt
Dan Clark Audio (MrSpeakers) Ether Flow 1.1,headphone,flat,,,,-2.8,7,3,PK,295.0,-8.79,0.69,,,headphone_eq/Dan Clark Audio (MrSpeakers) Ether Flow 1.1/iir-autoeq-flat.txt
Dan Clark Audio (MrSpeakers) Ether Flow 1.1,headphone,flat,,,,-2.8,7,4,PK,332.0,3.21,2.35,,,headphone_eq/Dan Clark Audio (MrSpeakers) Ether Flow 1.1/iir-autoeq-flat.txt
Dan Clark Audio (MrSpeakers) Ether Flow 1.1,headphone,flat,,,,-2.8,7,5,PK,1112.0,-1.08,2.96,,,headphone_eq/Dan Clark Audio (MrSpeakers) Ether Flow 1.1/iir-autoeq-flat.txt
Dan Clark Audio (MrSpeakers) Ether Flow 1.1,headphone,flat,,,,-2.8,7,6,PK,1756.0,3.65,3.02,,,headphone_eq/Dan Clark Audio (MrSpeakers) Ether Flow 1.1/iir-autoeq-flat.txt
Dan Clark Audio (MrSpeakers) Ether Flow 1.1,headphone,flat,,,,-2.8,7,7,PK,3650.0,-2.8,2.25,,,headphone_eq/Dan Clark Audio (MrSpeakers) Ether Flow 1.1/iir-autoeq-flat.txt
Dan Clark Audio (MrSpeakers) Ether Flow 1.1,headphone,score,,,,-2.8,7,1,PK,63.0,3.18,2.74,,,headphone_eq/Dan Clark Audio (MrSpeakers) Ether Flow 1.1/iir-autoeq-score.txt
Dan Clark Audio (MrSpeakers) Ether Flow 1.1,headphone,score,,,,-2.8,7,2,PK,131.0,-2.65,0.61,,,headphone_eq/Dan Clark Audio (MrSpeakers) Ether Flow 1.1/iir-autoeq-score.txt
Dan Clark Audio (MrSpeakers) Ether Flow 1.1,headphone,score,,,,-2.8,7,3,PK,296.0,-7.25,0.58,,,headphone_eq/Dan Clark Audio (MrSpeakers) Ether Flow 1.1/iir-autoeq-score.txt
Dan Clark Audio (MrSpeakers) Ether Flow 1.1,headphone,score,,,,-2.8,7,4,PK,345.0,2.06,2.7,,,headphone_eq/Dan Clark Audio (MrSpeakers) Ether Flow 1.1/iir-autoeq-score.txt
Dan Clark Audio (MrSpeakers) Ether Flow 1.1,headphone,score,,,,-2.8,7,5,PK,750.0,0.51,5.21,,,headphone_eq/Dan Clark Audio (MrSpeakers) Ether Flow 1.1/iir-autoeq-score.txt
Dan Clark Audio (MrSpeakers) Ether Flow 1.1,headphone,score,,,,-2.8,7,6,PK,1748.0,3.94,3.33,,,headphone_eq/Dan Clark Audio (MrSpeakers) Ether Flow 1.1/iir-autoeq-score.txt
Dan Clark Audio (MrSpeakers) Ether Flow 1.1,headphone,score,,,,-2.8,7,7,PK,5269.0,-2.6,0.78,,,headphone_eq/Dan Clark Audio (MrSpeakers) Ether Flow 1.1/iir-autoeq-score.txt
Dan Clark Audio E3,headphone,flat,,,,-0.8,7,1,PK,62.0,0.36,2.69,,,headphone_eq/Dan Clark Audio E3/iir-autoeq-flat.txt
Dan Clark Audio E3,headphone,flat,,,,-0.8,7,2,PK,99.0,-2.23,1.27,,,headphone_eq/Dan Clark Audio E3/iir-autoeq-flat.txt
Dan Clark Audio E3,headphone,flat,,,,-0.8,7,3,PK,359.0,3.02,2.65,,,headphone_eq/Dan Clark Audio E3/iir-autoeq-flat.txt
Dan Clark Audio E3,headphone,flat,,,,-0.8,7,4,PK,387.0,-3.35,1.54,,,headphone_eq/Dan Clark Audio E3/iir-autoeq-flat.txt
Dan Clark Audio E3,headphone,flat,,,,-0.8,7,5,PK,1417.0,1.88,2.43,,,headphone_eq/Dan Clark Audio E3/iir-autoeq-flat.txt
Dan Clark Audio E3,headphone,flat,,,,-0.8,7,6,PK,1460.0,-1.45,1.4,,,headphone_eq/Dan Clark Audio E3/iir-autoeq-flat.txt
Dan Clark Audio E3,headphone,flat,,,,-0.8,7,7,PK,3244.0,0.96,3.94,,,headphone_eq/Dan Clark Audio E3/iir-autoeq-flat.txt
Dan Clark Audio E3,headphone,score,,,,-1.3,7,1,PK,62.0,0.39,2.82,,,headphone_eq/Dan Clark Audio E3/iir-autoeq-score.txt
Dan Clark Audio E3,headphone,score,,,,-1.3,7,2,PK,98.0,-2.17,1.26,,,headphone_eq/Dan Clark Audio E3/iir-autoeq-score.txt
Dan Clark Audio E3,headphone,score,,,,-1.3,7,3,PK,279.0,2.74,1.75,,,headphone_eq/Dan Clark Audio E3/iir-autoeq-score.txt
Dan Clark Audio E3,headphone,score,,,,-1.3,7,4,PK,305.0,-3.08,1.2,,,headphone_eq/Dan Clark Audio E3/iir-autoeq-score.txt
Dan Clark Audio E3,headphone,score,,,,-1.3,7,5,PK,1550.0,-0.38,1.16,,,headphone_eq/Dan Clark Audio E3/iir-autoeq-score.txt
Dan Clark Audio E3,headphone,score,,,,-1.3,7,6,PK,1825.0,0.68,2.88,,,headphone_eq/Dan Clark Audio E3/iir-autoeq-score.txt
Dan Clark Audio E3,headphone,score,,,,-1.3,7,7,PK,3332.0,1.39,4.06,,,headphone_eq/Dan Clark Audio E3/iir-autoeq-score.txt
Dan Clark Audio Expanse,headphone,flat,,,,-6.0,7,1,PK,73.0,0.6,2.97,,,headphone_eq/Dan Clark Audio Expanse/iir-autoeq-flat.txt
Dan Clark Audio Expanse,headphone,flat,,,,-6.0,7,2,PK,144.0,-3.88,0.84,,,headphone_eq/Dan Clark Audio Expanse/iir-autoeq-flat.txt
Dan Clark Audio Expanse,headphone,flat,,,,-6.0,7,3,PK,309.0,3.83,1.83,,,headphone_eq/Dan Clark Audio Expanse/iir-autoeq-flat.txt
Dan Clark Audio Expanse,headphone,flat,,,,-6.0,7,4,PK,320.0,-3.62,2.6,,,headphone_eq/Dan Clark Audio Expanse/iir-autoeq-flat.txt
Dan Clark Audio Expanse,headphone,flat,,,,-6.0,7,5,PK,913.0,-1.26,2.94,,,headphone_eq/Dan Clark Audio Expanse/iir-autoeq-flat.txt
Dan Clark Audio Expanse,headphone,flat,,,,-6.0,7,6,PK,1794.0,0.85,3.51,,,headphone_eq/Dan Clark Audio Expanse/iir-autoeq-flat.txt
Dan Clark Audio Expanse,headphone,flat,,,,-6.0,7,7,PK,9099.0,6.0,2.57,,,headphone_eq/Dan Clark Audio Expanse/iir-autoeq-flat.txt
Dan Clark Audio Expanse,headphone,score,,,,-5.8,7,1,PK,78.0,1.12,2.63,,,headphone_eq/Dan Clark Audio Expanse/iir-autoeq-score.txt
Dan Clark Audio Expanse,headphone,score,,,,-5.8,7,2,PK,125.0,-3.35,0.87,,,headphone_eq/Dan Clark Audio Expanse/iir-autoeq-score.txt
Dan Clark Audio Expanse,headphone,score,,,,-5.8,7,3,PK,300.0,3.07,2.97,,,headphone_eq/Dan Clark Audio Expanse/iir-autoeq-score.txt
Dan Clark Audio Expanse,headphone,score,,,,-5.8,7,4,PK,312.0,-1.62,0.79,,,headphone_eq/Dan Clark Audio Expanse/iir-autoeq-score.txt
Dan Clark Audio Expanse,headphone,score,,,,-5.8,7,5,PK,1443.0,1.87,3.01,,,headphone_eq/Dan Clark Audio Expanse/iir-autoeq-score.txt
Dan Clark Audio Expanse,headphone,score,,,,-5.8,7,6,PK,1460.0,-1.38,1.67,,,headphone_eq/Dan Clark Audio Expanse/iir-autoeq-score.txt
Dan Clark Audio Expanse,headphone,score,,,,-5.8,7,7,PK,9219.0,5.81,2.15,,,headphone_eq/Dan Clark Audio Expanse/iir-autoeq-score.txt
Dan Clark Audio NOIRE X,headphone,flat,,,,-2.4,7,1,PK,72.0,2.16,1.49,,,headphone_eq/Dan Clark Audio NOIRE X/iir-autoeq-flat.txt
Dan Clark Audio NOIRE X,headphone,flat,,,,-2.4,7,2,PK,95.0,-2.33,1.23,,,headphone_eq/Dan Clark Audio NOIRE X/iir-autoeq-flat.txt
Dan Clark Audio NOIRE X,headphone,flat,,,,-2.4,7,3,PK,291.0,2.25,1.28,,,headphone_eq/Dan Clark Audio NOIRE X/iir-autoeq-flat.txt
Dan Clark Audio NOIRE X,headphone,flat,,,,-2.4,7,4,PK,298.0,-2.64,1.95,,,headphone_eq/Dan Clark Audio NOIRE X/iir-autoeq-flat.txt
Dan Clark Audio NOIRE X,headphone,flat,,,,-2.4,7,5,PK,657.0,2.31,1.92,,,headphone_eq/Dan Clark Audio NOIRE X/iir-autoeq-flat.txt
Dan Clark Audio NOIRE X,headphone,flat,,,,-2.4,7,6,PK,2075.0,-1.47,2.57,,,headphone_eq/Dan Clark Audio NOIRE X/iir-autoeq-flat.txt
